         31597940 function calls (31260790 primitive calls) in 91.931 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   408777    1.243    0.000    8.893    0.000 vertexbuffer.py:389(bind)
     2863    0.010    0.000    0.026    0.000 vertexbuffer.py:421(get_region)
       33    0.001    0.000    0.009    0.000 vertexbuffer.py:425(resize)
     2863    0.005    0.000    0.005    0.000 vertexbuffer.py:461(__init__)
   287226    0.775    0.000    0.987    0.000 vertexbuffer.py:467(invalidate)
      117    0.001    0.000    0.035    0.000 vertexbuffer.py:93(create_mappable_buffer)
       39    0.000    0.000    0.038    0.001 vertexdomain.py:125(create_domain)
       39    0.001    0.000    0.036    0.001 vertexdomain.py:158(__init__)
      823    0.001    0.000    0.013    0.000 vertexdomain.py:216(_safe_alloc)
      823    0.002    0.000    0.016    0.000 vertexdomain.py:240(create)
   136259    3.561    0.000   36.794    0.000 vertexdomain.py:252(draw)
      360    0.000    0.000    0.000    0.000 vertexdomain.py:299(_is_empty)
      823    0.001    0.000    0.001    0.000 vertexdomain.py:311(__init__)
      696    0.002    0.000    0.007    0.000 vertexdomain.py:370(delete)
     2217    0.020    0.000    0.059    0.000 vertexdomain.py:409(_set_attribute_data)
   139803    0.274    0.000    0.763    0.000 vertexdomain.py:418(_get_colors)
   145206    0.336    0.000    0.835    0.000 vertexdomain.py:554(_get_vertices)
       11    0.000    0.000    0.000    0.000 vertexdomain.py:80(_nearest_pow2)
      117    0.000    0.000    0.002    0.000 vertexdomain.py:91(create_attribute_usage)
        1    0.000    0.000    0.000    0.000 weakref.py:239(__delitem__)
     3690    0.016    0.000    0.020    0.000 weakref.py:326(keys)
     1394    0.001    0.000    0.001    0.000 weakref.py:53(__getitem__)
     1394    0.003    0.000    0.003    0.000 weakref.py:60(__contains__)
        5    0.000    0.000    0.001    0.000 win32.py:190(__init__)
        5    0.001    0.000    0.001    0.000 win32.py:400(_create_bitmap)
       11    0.003    0.000    0.011    0.001 win32.py:433(render)
        1    0.113    0.113   92.117   92.117 win32.py:46(run)
        1    0.000    0.000    0.031    0.031 win32.py:78(_idle_chance)
     3689    0.069    0.000   91.452    0.025 win32.py:83(_timer_func)
        1    0.001    0.001    0.004    0.004 {__import__}
     4079    0.007    0.000    0.007    0.000 {_ctypes.byref}
      118    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       96    0.000    0.000    0.000    0.000 {abs}
       11    0.002    0.000    0.002    0.000 {built-in method findall}
      254    0.000    0.000    0.000    0.000 {built-in method group}
      122    0.000    0.000    0.000    0.000 {built-in method match}
     7385    0.007    0.000    0.007    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 {globals}
   258325    0.289    0.000    0.289    0.000 {hasattr}
3809/2412    0.002    0.000    0.004    0.000 {hash}
     1008    0.000    0.000    0.000    0.000 {id}
     5467    0.001    0.000    0.001    0.000 {isinstance}
      697    0.001    0.000    0.001    0.000 {iter}
153088/153087    0.036    0.000    0.036    0.000 {len}
     3137    0.010    0.000    0.012    0.000 {map}
       11    0.000    0.000    0.000    0.000 {math.ceil}
  4097398    1.053    0.000    1.053    0.000 {max}
    27160    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     1043    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     9420    0.005    0.000    0.005    0.000 {method 'extend' of 'list' objects}
       51    0.000    0.000    0.000    0.000 {method 'from_address' of '_ctypes.StructType' objects}
    17362    0.005    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     3689    0.008    0.000    0.008    0.000 {method 'insert' of 'list' objects}
      363    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      346    0.002    0.000    0.002    0.000 {method 'join' of 'unicode' objects}
     3690    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
    11858    0.012    0.000    0.012    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      234    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
  4095103    1.133    0.000    1.133    0.000 {min}
       14    0.000    0.000    0.000    0.000 {range}
       28    0.000    0.000    0.000    0.000 {setattr}
      697    0.001    0.000    0.001    0.000 {sum}
     7378    0.004    0.000    0.004    0.000 {time.clock}
       23    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 {unichr}
     5573    0.003    0.000    0.003    0.000 {unicodedata.category}
      795    0.001    0.000    0.001    0.000 {zip}


